H1	82,3,168
H2A	234,176,40
H2A.W	249,94,131
H2A.X	79,128,33
H2A.Z	1,39,254
H2AK121ub	95,60,163
H2AV	58,188,20
H2B	26,107,187
H3	155,75,11
H3.1	186,134,79
H3.3	154,92,45
H3ac	52,161,30
H3K14ac	215,200,65
H3K16ac	59,61,62
H3K18ac	74,55,66
H3K23ac	164,101,43
H3K23me1	45,252,246
H3K27ac	194,223,110
H3K27me1	173,109,121
H3K27me3	124,189,8
H3K36ac	79,173,75
H3K36me3	8,25,107
H3K4me1	119,8,54
H3K4me2	113,39,228
H3K4me3	247,76,202
H3K56ac	57,164,215
H3K9-14ac	159,148,75
H3K9ac	105,205,146
H3K9me2	24,73,102
H3T3ph	116,74,226
H4ac	152,115,207
H4K12ac	158,174,150
H4K16ac	112,49,102
H4K5ac	174,76,159
H4K8ac	150,52,178
HTA6	25,176,28
HTR12	21,32,25
