AATF	135,182,206

ADNP	28,56,168

AEBP2	15,220,140

AFF1	11,34,77

AFF4	56,140,252

AGO1	252,196,56

AGO2	31,102,132

AHR	196,112,168

AHRR	152,60,211

APC	142,48,228

AR	252,56,84

ARHGAP35	140,224,57

ARID1A	168,28,28

ARID1B	140,252,168

ARID2	168,224,252

ARID3A	28,252,56

ARID4B	188,253,68

ARID5B	220,13,164

ARNT	224,252,252

ARNTL	168,112,168

ARRB1	252,28,224

ASCL1	140,84,112

ASH1L	57,185,139

ASH2L	56,252,56

ASXL1	84,112,112

ATF1	224,224,56

ATF2	196,140,224

ATF3	56,224,168

ATF4	196,252,196

ATF7	224,168,224

ATM	126,167,49

ATRX	252,168,112

AZF1	56,112,84

BACH1	168,168,196

BACH2	252,252,252

BAF155	204,69,51

BAHD1	28,140,5

BAP1	192,187,237

BATF	252,56,168

BATF_GFP	252,56,168

BATF3	124,98,154

BCL11A	84,168,28

BCL11B	126,179,157

BCL3	84,28,140

BCL6	168,56,140

BCL6B	200,221,54

BCLAF1	168,28,112

BCOR	168,140,56

BDP1	168,112,56

BHLHE22	84,252,168

BHLHE40	140,196,56

BLC6	114,210,251

BMAL1	207,254,82

BMI1	84,84,56

BMPR1A	168,28,56

BPTF	51,76,9

BRCA1	56,252,224

BRD1	112,252,140

BRD2	168,84,224

BRD3	196,84,224

BRD4	196,140,252

BRD7	55,46,183

BRD9	84,84,28

BRF1	224,196,56

BRF2	112,140,84

BRG1	234,197,241

C11orf30	114,204,108

C17ORF49	196,224,196

CARM1	196,84,168

CBFA2T2	112,28,84

CBFA2T3	84,84,140

CBFB	252,224,28

CBX1	84,112,28

CBX2	28,168,196

CBX3	140,56,56

CBX4	84,56,196

CBX5	112,112,28

CBX8	196,149,116

CC2D1A	89,182,247

CCAR2	176,139,13

CCND1	84,56,112

CCNT1	84,28,252

CCNT2	168,224,168

CD74	65,216,248

CDC5L	232,87,63

CDK2	224,140,140

CDK6	112,168,28

CDK7	224,224,196

CDK8	84,84,252

CDK9	140,140,56

CDK9-HEXIM1	150,182,118

CDX2	252,56,196

CEBPA	112,28,28

CEBPB	196,112,112

CEBPD	224,140,168

CEBPG	112,112,56

CEBPZ	112,168,252

CHAMP1	142,217,226

CHD1	140,252,28

CHD2	84,196,252

CHD4	84,252,56

CHD7	84,252,252

CHD8	252,84,252

CIITA	112,252,168

CLOCK	168,252,224

COBLL1	42,128,153

COPS2	232,20,160

CREB1	84,28,224

CREB3	112,196,168

CREB3L1	112,224,112

CREBBP	196,196,56

CREBBP_M742	196,196,56

CREBBP_M768	196,196,56

CREM	112,224,28

CRY1	224,252,112

CSNK2A1	112,224,56

CTBP1	28,56,56

CTBP2	196,56,196

CTCF	252,140,56

CTCFL	112,84,84

CTNNB1	252,168,84

CUX1	112,224,84

CXXC4	168,224,56

DACH1	156,34,230

DAXX	56,112,28

DDX20	112,252,196

DDX21	140,120,107

DDX5	84,112,252

DEAF1	28,112,112

DEK	112,28,112

DIDO1	112,28,140

DMAP1	181,245,72

DNMT1	42,1,236

DNMT3B	112,28,196

DPF1	214,227,156

DPF2	112,28,224

DPPA3	112,168,196

DRAP1	38,226,7

DUX4	28,112,224

E2F1	140,84,84

E2F4	224,224,84

E2F5	112,56,112

E2F6	224,252,140

E2F7	112,84,252

E2F8	124,224,254

E4F1	3,158,133

EBF1	28,56,224

EBF3	66,72,107

EBF3_P177L	66,72,107

EED	140,140,28

EGLN2	56,196,140

EGR1	56,224,140

EGR2	208,49,9

EHF	224,84,112

EHMT2	10,138,58

ELF1	140,140,224

ELF3	140,196,196

ELF4	84,252,112

ELF5	140,84,168

ELK1	56,252,84

ELK4	56,112,140

ELL	224,140,28

ELL2	84,252,224

EOMES	196,252,84

EP300	112,252,84

EP400	102,132,184

EPAS1	224,196,140

ERCC2	84,140,196

ERCC3	28,112,56

ERCC6	220,80,28

ERCC8	220,128,144

ERF	84,13,120

ERG	252,84,28

ERG2	175,198,96

ERG3	232,27,88

ESR1	224,168,84

ESR1_D538G	224,168,84

ESR1_NOP2	224,168,84

ESR1_P118	224,168,84

ESR1_PCDH11X	224,168,84

ESR1_Y537C	224,168,84

ESR1_Y537N	224,168,84

ESR1_Y537S	224,168,84

ESR1_YAP1	224,168,84

ESR1_YFP-HA	224,168,84

ESR2	28,168,224

ESRRA	28,224,56

ETS1	252,140,196

ETS2	115,65,17

ETV1	252,140,28

ETV4	112,56,140

ETV5	201,147,115

ETV6	112,56,196

EVI1	234,208,137

EWS	101,236,201

EWSR1	224,28,56

EZH1	168,56,196

EZH2	140,168,224

EZH2phosphoT487	140,168,224

FANCD2	29,86,15

FANCL	28,28,252

FEZF1	86,220,220

FIP1L1	58,11,157

FLI1	84,224,224

FOS	112,140,140

FOSL1	140,112,28

FOSL2	84,140,224

FOXA1	252,140,168

FOXA2	28,112,252

FOXA3	125,129,232

FOXD3	137,29,237

FOXF1	46,96,3

FOXJ2	112,56,252

FOXK1	84,140,140

FOXK2	112,56,56

FOXM1	56,28,140

FOXO1	84,112,56

FOXO3	220,196,110

FOXP1	224,252,224

FOXP2	224,224,168

FOXR2	54,76,3

FUS	148,126,96

GABPA	140,168,252

GABPB1	29,200,206

GATA1	252,28,28

GATA2	56,168,196

GATA3	140,140,84

GATA3_Cter	140,140,84

GATA3_Nter	140,140,84

GATA4	140,140,252

GATA6	224,224,224

GATAD1	252,112,224

GATAD2A	195,180,139

GATAD2B	24,194,26

GFI1	104,20,214

GFI1B	224,168,56

GLI2	195,90,198

GLI4	38,170,110

GLIS1	163,22,62

GLIS2	24,23,245

GLYR1	252,84,56

GMEB1	131,252,67

GMEB2	203,62,163

GR	40,101,155

GRHL2	84,252,196

GRHL3	25,251,10

GSPT2	252,168,224

GTF2A2	51,65,78

GTF2B	196,168,196

GTF2E2	112,56,84

GTF2F1	84,196,196

GTF3A	253,112,205

GTF3C2	196,28,84

GTF3C5	139,181,118

HAND2	100,71,246

HBP1	112,84,140

HCFC1	84,56,56

HCFC1R1	197,194,171

HDAC1	168,196,224

HDAC2	84,168,56

HDAC3	56,252,112

HDAC6	28,224,112

HDAC8	56,112,168

HDGF	112,84,224

HES1	56,56,140

HEXIM1	56,140,224

HEXIM1-CDK9	144,193,12

HHEX	140,112,168

HIC1	196,193,151

HIF1A	28,224,140

HIF2A	237,48,37

HINFP	140,112,196

HKR1	60,74,215

HLF	162,99,220

HMBOX1	112,252,28

HMG20A	203,162,50

HMG20B	165,19,22

HMGA2_L	243,105,176

HMGA2_S	243,105,176

HMGB1	13,46,204

HMGB2	183,251,136

HMGN3	84,252,140

HMGXB4	161,154,35

HNF1A	224,162,71

HNF1B	224,84,56

HNF4A	140,84,56

HNF4G	224,224,140

HNRNPH1	61,155,207

HNRNPK	13,78,64

HNRNPL	46,109,192

HNRNPLL	55,194,236

HNRNPUL1	1,233,180

HOMEZ	231,95,0

HOXA9	112,196,84

HOXB13	224,28,224

HOXB7	84,56,140

HOXC11	196,168,140

HOXC5	7,88,113

HSF1	84,28,168

ICE1	224,168,252

ICE2	252,196,84

ID3	140,168,168

IKZF1	56,252,196

IKZF2	215,223,84

IKZF3	11,159,26

IKZF5	132,183,164

ILF3	233,112,88

ILK	140,168,56

INO80	44,202,125

INSM2	85,27,83

INTS11	236,20,183

INTS13	44,86,166

IRF1	28,224,28

IRF2	56,28,252

IRF3	252,84,84

IRF4	28,56,252

IRF5	84,112,196

IRF9	140,196,252

ISL1	238,63,44

JARID2	252,112,252

JDP2	44,53,118

JMJD1C	84,196,84

JMJD6	56,168,168

JUN	196,252,140

JUNB	56,28,196

JUND	196,56,112

KAP1	44,224,178

KAT2A	140,196,84

KAT2B	140,224,112

KAT7	242,19,110

KAT8	154,75,243

KDM1A	28,140,224

KDM1A_8A	28,140,224

KDM1B	168,28,84

KDM3A	169,130,205

KDM4A	140,224,140

KDM4B	140,224,56

KDM4C	112,196,224

KDM5	140,224,84

KDM5A	224,56,140

KDM5B	140,168,112

KDM5C	84,224,140

KDM6A	84,196,56

KDM6B	224,56,196

KFL1	131,142,214

KLF1	224,28,168

KLF10	200,226,2

KLF11	54,136,138

KLF12	141,65,247

KLF13	140,252,112

KLF14	99,78,195

KLF15	129,166,60

KLF16	42,44,112

KLF17	119,23,81

KLF3	168,28,252

KLF4	140,252,196

KLF5	224,84,224

KLF6	252,56,28

KLF7	220,187,138

KLF8	36,16,174

KLF9	196,168,84

KMT2A	252,252,224

KMT2B	112,196,140

KMT2D	219,238,88

L3MBTL2	84,196,28

L3MBTL3	246,48,202

L3MBTL4	70,64,129

LCORL	62,138,250

LDB1	56,140,28

LEF1	252,168,140

LEO1	196,28,196

LHX2	56,84,56

LMO1	101,198,173

LMO2	252,28,252

LRWD1	68,28,56

LYL1	56,140,168

MAF	168,112,28

MAF1	235,101,230

MAFB	196,56,252

MAFF	28,168,252

MAFG	140,28,168

MAFK	28,84,196

MAML3	140,112,140

MAX	56,196,84

MAZ	168,252,140

MBD1	158,155,178

MBD2	28,140,168

MBD3	224,84,28

MBD4	196,56,140

MCM2	30,54,169

MCM3	39,12,250

MCM5	68,94,154

MCM7	64,104,16

MCRS1	136,93,15

MDM2	84,196,140

MECOM	68,206,100

MED	76,238,23

MED1	112,196,56

MED12	140,56,28

MED26	28,84,84

MEF2A	56,140,112

MEF2B	224,112,168

MEF2C	56,252,28

MEF2D	198,28,208

MEIS1	28,196,224

MEIS2	140,28,196

MEN1	238,189,42

MGA	245,239,6

MIER1	140,28,56

MIER2	254,92,20

MIER3	123,131,239

MITF	196,168,168

MIXL1	56,55,138

MLL	130,222,222

MLL4	21,159,210

MLLT1	140,28,84

MLLT1_FKB	235,164,226

MLLT3	56,252,252

MLX	216,101,30

MNT	140,56,112

MORC2	64,1,23

MPHOSPH8	204,118,97

MRTFA	49,219,213

MRTFB	140,236,9

MTA1	140,56,140

MTA2	56,84,196

MTA3	156,111,43

MXD3	97,120,19

MXD4	53,89,49

MXI1	112,56,28

MYB	196,84,28

MYBL2	168,28,140

MYC	56,28,56

MYCN	28,196,56

MYF5	3,107,220

MYNN	140,56,196

MYOD1	224,56,168

MYOG	214,124,112

MYRF	132,79,139

MZF1	176,147,245

NAB2	133,52,22

NANOG	196,28,224

NBN	140,84,196

NCAPH2	183,59,156

NCOA1	56,224,224

NCOA2	84,196,112

NCOA2_pS469	73,130,195

NCOA3	84,168,196

NCOA4	0,115,153

NCOA6	194,111,172

NCOR	196,112,56

NCOR1	28,84,224

NCOR2	168,252,56

NELFA	84,168,140

NEUROD1	140,56,224

NEUROG2	57,138,127

NFATC1	28,84,140

NFATC3	214,16,163

NFE2	168,252,112

NFE2L1	140,84,252

NFE2L2	28,168,56

NFIA	190,70,135

NFIB	162,229,79

NFIC	140,84,28

NFIL3	195,225,107

NFKB1	84,28,84

NFKB2	112,140,252

NFKBIA	196,224,252

NFKBIZ	224,240,184

NFRKB	168,112,112

NFXL1	142,122,6

NFYA	28,84,112

NFYB	56,168,252

NFYC	154,181,231

NIPBL	28,168,168

NKX2_1	112,252,224

NKX2_2	112,252,224

NKX2-1	112,252,224

NKX2-5	112,252,224

NKX3_1	168,56,168

NME2	84,224,252

NMYC	247,30,133

NONO	168,112,224

NOTCH1	56,56,112

NOTCH1_NICD	188,197,62

NOTCH3	122,0,206

NR0B1	68,79,215

NR1H2	112,196,112

NR1H3	84,56,28

NR1H4	112,112,140

NR2C1	41,250,89

NR2C2	28,196,140

NR2F1	252,168,168

NR2F2	56,196,252

NR2F6	168,140,112

NR3C1	112,56,168

NR3C1_mut	112,56,168

NR4A1	56,28,112

NR5A2	224,224,28

NRF1	140,252,252

NRIP1	112,112,168

NSD2	168,140,168

NUFIP1	65,84,154

NUP98	40,131,36

NUP98-HOXA9	69,231,190

NUTM1	139,31,126

OCA2	112,140,56

OCT4	223,15,152

OGG1	246,94,206

ONECUT1	140,252,56

OSR2	213,152,22

OTX2	224,112,196

OVOL2	84,28,196

OVOL3	17,105,112

PAF1	112,112,196

PALB2	28,168,112

PATZ1	234,173,164

PAX3-FOXO1	147,201,1

PAX5	196,196,112

PAX6	84,112,140

PAX7	237,214,159

PAX8	28,196,252

PBX1	56,84,112

PBX2	168,140,196

PBX3	252,28,168

PBX4	123,16,103

PCBP1	31,198,90

PCBP2	42,23,134

PCGF1	97,220,154

PCGF2	224,196,112

PDX1	112,84,112

PGR	112,84,56

PGR_A	112,84,56

PGR_B	112,84,56

PHB2	94,216,200

PHF20	54,186,198

PHF21A	18,28,24

PHF5A	129,215,23

PHF8	84,84,224

PHIP	82,197,159

PHOX2B	141,50,37

PIAS1	252,112,28

PITX3	251,24,167

PKNOX1	168,140,224

PLAG1	162,237,179

PLRG1	55,65,23

PML	140,112,112

POL2	112,112,224

POU2F1	112,84,196

POU2F2	28,224,168

POU2F3	44,64,211

POU4F2	252,112,84

POU5F1	140,28,112

PPARG	168,196,196

PPARGC1A	140,84,140

PRDM1	84,168,168

PRDM10	11,207,118

PRDM12	222,45,26

PRDM14	28,28,140

PRDM2	127,214,91

PRDM4	224,39,117

PRDM6	247,126,168

PRDM9	38,149,49

PRG	212,187,215

PRKDC	140,168,140

PROX1	224,140,112

PRPF4	237,39,148

PSIP1	90,65,169

PTBP1	113,154,162

PTRF	168,140,28

PTTG1	168,168,112

PYGO2	168,168,252

RAC3	56,196,56

RAD21	140,252,224

RAD51	252,196,112

RARA	224,196,84

RB1	224,168,28

RBAK	206,44,123

RBBP5	196,56,56

RBFOX2	198,208,109

RBM14	3,204,229

RBM15	102,128,68

RBM17	17,212,57

RBM22	134,155,29

RBM25	34,229,79

RBM34	52,120,152

RBM39	232,242,244

RBP2	196,112,224

RBP2_L	196,112,224

RBPJ	168,168,56

RCOR1	196,28,112

RCOR2	180,206,62

REL	90,65,26

RELA	112,224,196

RELB	252,168,56

REPIN1	64,30,56

RERE	79,137,26

REST	140,224,196

RFX1	168,196,28

RFX2	112,224,252

RFX3	8,61,142

RFX5	196,224,224

RFXANK	62,80,242

RING1B	111,168,90

RLF	117,111,181

RNF2	56,112,56

RUNX	56,56,56

RUNX1	84,168,112

RUNX1T1	168,196,112

RUNX2	112,168,140

RUNX3	168,112,196

RUVBL1	133,21,58

RUVBL2	25,82,3

RXR	196,224,56

RXRA	196,84,252

RXRB	114,168,198

RYBP	28,140,196

SAFB	25,244,25

SAFB2	97,59,58

SALL1	74,173,208

SALL2	240,121,197

SALL4	151,216,141

SAP130	17,167,169

SAP30	56,196,28

SATB1	224,56,224

SCRT1	157,226,160

SCRT2	154,202,122

SETBP1	151,151,50

SETDB1	28,28,56

SETX	142,246,199

SF1	28,252,84

SFMBT1	224,28,112

SFPQ	121,139,78

SGF29	28,196,168

SHARP1	93,74,100

SIN3A	196,112,252

SIN3B	168,196,84

SIRT3	112,252,112

SIRT6	84,140,56

SIX1	84,224,196

SIX2	28,28,168

SIX4	227,80,178

SIX5	28,224,196

SKI	21,59,30

SKIL	169,238,231

SMAD1	28,112,168

SMAD1-5	234,206,227

SMAD1-5-8	32,223,204

SMAD2	140,84,224

SMAD2-3	106,135,4

SMAD3	140,112,56

SMAD4	28,84,168

SMAD5	168,224,140

SMARCA2	246,183,174

SMARCA4	224,84,252

SMARCA5	121,251,75

SMARCB1	168,56,28

SMARCC1	28,252,168

SMARCC2	252,224,196

SMARCE1	24,178,97

SMC1	13,51,21

SMC1A	140,224,224

SMC3	252,56,56

SMC3_ac	152,134,185

SMC4	196,252,112

SNAI1	10,105,137

SNAI2	56,84,168

SNAPC1	28,252,28

SNAPC4	112,196,196

SND1	140,56,252

SNIP1	208,49,131

SNRNP70	217,182,73

SOX10	28,28,84

SOX11	224,140,224

SOX13	168,224,224

SOX15	56,28,168

SOX2	168,84,252

SOX4	151,217,175

SOX5	209,140,226

SOX6	224,84,168

SOX9	84,84,196

SP1	28,196,84

SP140	134,238,87

SP2	168,56,84

SP3	230,217,222

SP4	56,84,224

SP5	140,239,54

SP7	16,248,251

SPDEF	171,168,238

SPI1	252,28,112

SPIB	84,196,168

SPIN1	218,172,55

SRC	83,100,201

SREBF1	168,252,252

SREBF2	168,28,196

SRF	140,112,224

SRSF3	81,46,29

SRSF4	58,197,78

SRSF7	132,83,233

SRSF9	0,129,47

SS18	239,121,81

SSRP1	168,56,224

STAG1	140,196,168

STAG2	123,88,174

STAT1	84,168,224

STAT1_pS727	161,220,127

STAT2	224,140,56

STAT3	140,196,112

STAT4	224,196,168

STAT5A	196,84,56

STAT5B	168,28,224

STAT6	171,31,45

SUPT16H	123,136,52

SUPT20H	168,56,252

SUPT4H1	84,140,168

SUPT5H	247,246,179

Suz12	237,247,218

SUZ12	28,140,84

SVIL	224,224,112

SYNCRIP	157,85,95

T	168,140,140

TAF1	28,252,252

TAF15	224,140,196

TAF2	224,252,196

TAF3	196,28,140

TAF7	28,224,84

TAF9B	10,18,169

TAL1	112,168,84

TAL1_SCL	112,168,84

TARDBP	168,84,112

TASOR	120,90,35

TBL1X	84,168,252

TBL1XR1	252,252,56

TBP	56,168,28

TBX2	147,39,37

TBX21	168,224,112

TBX3	169,77,179

TBX5	80,192,99

TCF12	56,196,196

TCF25	168,84,168

TCF3	168,112,84

TCF4	28,224,224

TCF7	168,84,196

TCF7L2	112,140,224

TCOF1	66,112,123

TEAD1	56,140,140

TEAD2	168,84,84

TEAD3	229,252,207

TEAD4	196,252,56

TERF1	168,196,168

TERF2	224,56,28

TERT	34,130,239

TET2	182,115,237

TET3	28,112,140

TFAM	224,196,28

TFAP2A	84,28,112

TFAP2C	252,140,84

TFAP4	196,112,84

TFCP2	116,119,50

TFDP1	196,140,112

TFE3	213,180,182

TFIIIC	127,88,200

TGIF2	196,140,168

THAP11	56,84,140

THRA	189,74,6

THRAP3	11,161,69

THRB	179,95,92

TLE3	140,28,140

TLX1	28,140,252

TOP1	84,224,28

TOP2A	25,146,108

TP53	140,56,84

TP53_PS15	140,56,84

TP53_PS46	140,56,84

TP63	84,140,84

TP73	0,230,162

TP73_DELTANP	28,196,112

TP73_TA	28,196,112

TRIM22	196,140,196

TRIM24	252,56,252

TRIM25	169,140,217

TRIM28	38,93,125

TRIP13	37,40,179

TRP47	150,50,54

TRPS1	186,116,96

TRRAP	140,140,112

TSC22D4	196,140,56

TSHZ1	124,173,210

TWIST1	112,168,56

TXT	196,140,84

U2AF1	226,113,149

U2AF2	126,35,238

UBN1	252,252,168

UBTF	224,168,196

UHRF2	252,196,140

USF1	140,196,224

USF2	252,224,168

USP7	140,140,196

UTX	162,132,215

VDR	84,56,252

VEZF1	182,36,123

WAPL	52,5,63

WDHD1	97,231,66

WDR5	31,54,179

WRN	168,252,196

