AATF	135,182,206
ADNP	28,56,168
AEBP2	15,220,140
AFF1	11,34,77
AFF4	56,140,252
AGO1	252,196,56
AHR	196,112,168
AHRR	152,60,211
APC	142,48,228
AR	252,56,84
ARHGAP35	140,224,57
ARID1A	168,28,28
ARID1B	140,252,168
ARID2	168,224,252
ARID3A	28,252,56
ARID3B	9,5,87
ARID4A	217,229,42
ARID4B	188,253,68
ARID5B	220,13,164
ARNT	224,252,252
ARNTL	168,112,168
ARNTL	207,254,82
ARRB1	252,28,224
ASCL1	140,84,112
ASH1L	57,185,139
ASH2L	56,252,56
ASXL1	84,112,112
ASXL3	23,246,18
ATF1	224,224,56
ATF2	196,140,224
ATF3	56,224,168
ATF4	196,252,196
ATF7	224,168,224
ATM	126,167,49
ATOH8	215,88,54
ATRX	252,168,112
ATXN7L3	148,3,163
BACH1	168,168,196
BACH2	252,252,252
BAF155	204,69,51
BAHD1	28,140,5
BAP1	192,187,237
BATF	252,56,168
BATF3	124,98,154
BATF_GFP	252,56,168
BCL11A	84,168,28
BCL11B	126,179,157
BCL3	84,28,140
BCL6	114,210,251
BCL6	168,56,140
BCL6B	200,221,54
BCLAF1	168,28,112
BCOR	168,140,56
BDP1	168,112,56
BHLHE22	84,252,168
BHLHE40	140,196,56
BICRA	224,255,197
BMI1	84,84,56
BMPR1A	168,28,56
BNC2	250,117,14
BPTF	51,76,9
BRCA1	56,252,224
BRD1	112,252,140
BRD2	168,84,224
BRD3	196,84,224
BRD4	196,140,252
BRD7	55,46,183
BRD9	84,84,28
BRF1	224,196,56
BRF2	112,140,84
C17orf49	196,224,196
CARM1	196,84,168
CASZ1	234,139,25
CBFA2T2	112,28,84
CBFA2T3	84,84,140
CBFB	252,224,28
CBX1	84,112,28
CBX2	28,168,196
CBX3	140,56,56
CBX4	84,56,196
CBX5	112,112,28
CBX7	133,36,33
CBX8	196,149,116
CC2D1A	89,182,247
CCAR2	176,139,13
CCNT2	168,224,168
CD74	65,216,248
CDC5L	232,87,63
CDK2	224,140,140
CDK6	112,168,28
CDK7	224,224,196
CDK8	84,84,252
CDK9	140,140,56
CDK9-HEXIM1	150,182,118
CDKN1B	0,50,174
CDX2	252,56,196
CEBPA	112,28,28
CEBPB	196,112,112
CEBPD	224,140,168
CEBPG	112,112,56
CEBPZ	112,168,252
CERS6	190,166,23
CHAF1B	49,27,171
CHAMP1	142,217,226
CHD1	140,252,28
CHD2	84,196,252
CHD4	84,252,56
CHD7	84,252,252
CHD8	252,84,252
CIITA	112,252,168
CLOCK	168,252,224
COBLL1	42,128,153
CREB1	84,28,224
CREB3	112,196,168
CREB3L1	112,224,112
CREB5	173,26,213
CREBBP	196,196,56
CREBBP_M742	196,196,56
CREBBP_M768	196,196,56
CREM	112,224,28
CRX	25,178,187
CRY1	224,252,112
CRY2	128,7,244
CSDC2	99,168,239
CSNK2A1	112,224,56
CTBP1	28,56,56
CTBP2	196,56,196
CTCF	252,140,56
CTCFL	112,84,84
CTCF_s	22,187,107
CTNNB1	252,168,84
CUX1	112,224,84
CXXC4	168,224,56
CXXC5	236,84,197
DACH1	156,34,230
DAXX	56,112,28
DDX20	112,252,196
DDX21	140,120,107
DDX5	84,112,252
DEAF1	28,112,112
DEK	112,28,112
DIDO1	112,28,140
DLX4	109,124,59
DLX6	34,209,2
DMAP1	181,245,72
DNMT1	42,1,236
DNMT3B	112,28,196
DPF1	214,227,156
DPF2	112,28,224
DR1	98,83,190
DRAP1	38,226,7
DUX4	28,112,224
E2F1	140,84,84
E2F3	247,109,216
E2F4	224,224,84
E2F5	112,56,112
E2F6	224,252,140
E2F7	112,84,252
E2F8	124,224,254
E4F1	3,158,133
EBF1	28,56,224
EBF3_P177L	66,72,107
EED	140,140,28
EGR1	56,224,140
EHF	224,84,112
EHMT2	10,138,58
ELF1	140,140,224
ELF2	95,140,105
ELF3	140,196,196
ELF4	84,252,112
ELF5	140,84,168
ELK1	56,252,84
ELK4	56,112,140
ELL	224,140,28
ELL2	84,252,224
EOMES	196,252,84
EP300	112,252,84
EP400	102,132,184
EPAS1	224,196,140
EPAS1	237,48,37
ERF	84,13,120
ERG	252,84,28
ESR1	224,168,84
ESR1_D538G	224,168,84
ESR1_P118	224,168,84
ESR1_PCDH11X	224,168,84
ESR1_pS118	249,101,32
ESR1_Y537C	224,168,84
ESR1_Y537N	224,168,84
ESR1_Y537S	224,168,84
ESR2	28,168,224
ESRRA	28,224,56
ESRRB	228,19,176
ESRRG	11,113,163
ETS1	252,140,196
ETS2	115,65,17
ETV1	252,140,28
ETV2	0,117,204
ETV4	112,56,140
ETV6	112,56,196
EVI1	234,208,137
EWSR1	224,28,56
EZH1	168,56,196
EZH2	140,168,224
EZH2_phosphoT487	140,168,224
FANCD2	29,86,15
FANCL	28,28,252
FEZF1	86,220,220
FIP1L1	58,11,157
FLI1	84,224,224
FOS	112,140,140
FOSB	161,142,163
FOSL1	140,112,28
FOSL2	84,140,224
FOXA1	252,140,168
FOXA2	28,112,252
FOXF1	46,96,3
FOXF2	49,29,75
FOXJ2	112,56,252
FOXJ3	83,94,48
FOXK1	84,140,140
FOXK2	112,56,56
FOXL2	138,92,206
FOXM1	56,28,140
FOXO1	84,112,56
FOXO1-PAX3	210,220,180
FOXO3	220,196,110
FOXP1	224,252,224
FOXP2	224,224,168
FOXP4	161,127,150
FOXS1	49,101,87
FUS	148,126,96
GABPA	140,168,252
GABPB1	29,200,206
GATA1	252,28,28
GATA2	56,168,196
GATA3	140,140,84
GATA3_Cter	140,140,84
GATA3_Nter	140,140,84
GATA4	140,140,252
GATA6	224,224,224
GATAD1	252,112,224
GATAD2A	195,180,139
GATAD2B	24,194,26
GFI1	104,20,214
GFI1B	224,168,56
GLI1	120,35,69
GLI2	195,90,198
GLI4	38,170,110
GLIS1	163,22,62
GLIS2	24,23,245
GLIS3	244,83,142
GLYR1	252,84,56
GMEB1	131,252,67
GMEB2	203,62,163
GPS2	215,70,224
GRHL1	183,173,76
GRHL2	84,252,196
GSPT2	252,168,224
GTF2A2	51,65,78
GTF2B	196,168,196
GTF2F1	84,196,196
